0, 1571862090927, 1571862090957, 1571862091701, 774, 744, 30
1, 1571862151099, 1571862151124, 1571862151504, 405, 380, 25
2, 1571862211200, 1571862211222, 1571862211724, 524, 502, 22
3, 1571862271373, 1571862271401, 1571862272886, 1513, 1485, 28
4, 1571862331573, 1571862331588, 1571862332751, 1178, 1163, 15
5, 1571862391739, 1571862391768, 1571862392718, 979, 950, 29
6, 1571862451950, 1571862451966, 1571862453813, 1863, 1847, 16
7, 1571862542203, 1571862542230, 1571862543061, 858, 831, 27
8, 1571862572301, 1571862572323, 1571862572976, 675, 653, 22
9, 1571862632509, 1571862632531, 1571862632993, 484, 462, 22
10, 1571862692671, 1571862692701, 1571862694089, 1418, 1388, 30
11, 1571862752829, 1571862752859, 1571862754023, 1194, 1164, 30
12, 1571862812960, 1571862812989, 1571862814068, 1108, 1079, 29
13, 1571862873113, 1571862873129, 1571862874075, 962, 946, 16
14, 1571862933318, 1571862933344, 1571862934137, 819, 793, 26
15, 1571862993568, 1571862993595, 1571862994206, 638, 611, 27
16, 1571863053736, 1571863053766, 1571863054268, 532, 502, 30
17, 1571863144199, 1571863144227, 1571863144496, 297, 269, 28
18, 1571863174333, 1571863174365, 1571863175637, 1304, 1272, 32
19, 1571863264767, 1571863264793, 1571863265532, 765, 739, 26
20, 1571863294850, 1571863294881, 1571863295617, 767, 736, 31
21, 1571863355109, 1571863355138, 1571863355717, 608, 579, 29
22, 1571863385277, 1571863385306, 1571863385894, 617, 588, 29
23, 1571863505900, 1571863505931, 1571863506900, 1000, 969, 31
24, 1571863596272, 1571863596309, 1571863597149, 877, 840, 37
25, 1571863656662, 1571863656692, 1571863657262, 600, 570, 30
26, 1571863716981, 1571863717012, 1571863718451, 1470, 1439, 31
27, 1571863777315, 1571863777343, 1571863778414, 1099, 1071, 28
28, 1571863807551, 1571863807579, 1571863808410, 859, 831, 28
29, 1571863898006, 1571863898035, 1571863898567, 561, 532, 29
30, 1571863958334, 1571863958364, 1571863958940, 606, 576, 30
31, 1571864018672, 1571864018702, 1571864019024, 352, 322, 30
32, 1571864079026, 1571864079056, 1571864080163, 1137, 1107, 30
33, 1571864109250, 1571864109277, 1571864110201, 951, 924, 27
