0, 1571862944367, 1571862944397, 1571862945301, 934, 904, 30
1, 1571862975538, 1571862975554, 1571862976256, 718, 702, 16
2, 1571863064803, 1571863064833, 1571863065388, 585, 555, 30
3, 1571863125081, 1571863125107, 1571863125529, 448, 422, 26
4, 1571863155292, 1571863155315, 1571863156405, 1113, 1090, 23
5, 1571863276805, 1571863276832, 1571863277540, 735, 708, 27
6, 1571863367202, 1571863367231, 1571863367651, 449, 420, 29
7, 1571863427477, 1571863427507, 1571863427724, 247, 217, 30
8, 1571863487752, 1571863487780, 1571863488890, 1138, 1110, 28
9, 1571863548111, 1571863548138, 1571863548987, 876, 849, 27
10, 1571863608346, 1571863608375, 1571863609215, 869, 840, 29
11, 1571863669759, 1571863669785, 1571863670080, 321, 295, 26
12, 1571863720014, 1571863720040, 1571863721171, 1157, 1131, 26
13, 1571863780345, 1571863780375, 1571863781245, 900, 870, 30
14, 1571863840722, 1571863840752, 1571863841324, 602, 572, 30
15, 1571863901038, 1571863901065, 1571863901499, 461, 434, 27
16, 1571863961366, 1571863961394, 1571863962019, 653, 625, 28
17, 1571864021705, 1571864021732, 1571864022080, 375, 348, 27
18, 1571864082057, 1571864082086, 1571864083196, 1139, 1110, 29
19, 1571864143397, 1571864143426, 1571864144257, 860, 831, 29
