0, 1571862426868, 1571862426898, 1571862427790, 922, 892, 30
1, 1571862497069, 1571862497086, 1571862498617, 1548, 1531, 17
2, 1571862532147, 1571862532170, 1571862532835, 688, 665, 23
3, 1571862601421, 1571862601456, 1571862602793, 1372, 1337, 35
4, 1571862637535, 1571862637562, 1571862637961, 426, 399, 27
5, 1571863035691, 1571863035720, 1571863036414, 723, 694, 29
6, 1571863070868, 1571863070890, 1571863071292, 424, 402, 22
7, 1571863106008, 1571863106035, 1571863106590, 582, 555, 27
8, 1571863176366, 1571863176393, 1571863177477, 1111, 1084, 27
9, 1571863457667, 1571863457695, 1571863458788, 1121, 1093, 28
10, 1571863492837, 1571863492858, 1571863493834, 997, 976, 21
11, 1571863528035, 1571863528063, 1571863528935, 900, 872, 28
12, 1571863633584, 1571863633613, 1571863634041, 457, 428, 29
13, 1571863668729, 1571863668758, 1571863669088, 359, 330, 29
14, 1571863738189, 1571863738216, 1571863739256, 1067, 1040, 27
15, 1571863808579, 1571863808605, 1571863809534, 955, 929, 26
16, 1571863878930, 1571863878959, 1571863879624, 694, 665, 29
17, 1571863915161, 1571863915186, 1571863915515, 354, 329, 25
18, 1571863985499, 1571863985526, 1571863985989, 490, 463, 27
19, 1571864055937, 1571864055975, 1571864057185, 1248, 1210, 38
20, 1571864091121, 1571864091152, 1571864092306, 1185, 1154, 31
