Counter,Start time,End time,Total time
25,1571239199855,1571239200796,941
64,1571239202624,1571239203812,1188
17,1571239203743,1571239204770,1027
26,1571239203864,1571239204813,949
43,1571239207224,1571239207808,584
65,1571239208638,1571239209787,1149
46,1571239209209,1571239209787,578
18,1571239209755,1571239210824,1069
47,1571239210219,1571239210824,605
66,1571239211650,1571239212746,1096
27,1571239211874,1571239212829,955
28,1571239211889,1571239212897,1008
19,1571239214766,1571239215798,1032
48,1571239215229,1571239215803,574
67,1571239215669,1571239216724,1055
68,1571239216679,1571239217820,1141
49,1571239218240,1571239218761,521
44,1571239218250,1571239218843,593
0,1571239219468,1571239219817,349
45,1571239220262,1571239220864,602
46,1571239221279,1571239221904,625
1,1571239221483,1571239221926,443
50,1571239225251,1571239225759,508
20,1571239225777,1571239226808,1031
21,1571239228789,1571239229838,1049
22,1571239229802,1571239230742,940
47,1571239230290,1571239230795,505
48,1571239230302,1571239230832,530
69,1571239230693,1571239231762,1069
2,1571239231497,1571239231858,361
29,1571239231909,1571239232868,959
49,1571239232313,1571239232879,566
3,1571239235508,1571239235785,277
51,1571239236263,1571239236834,571
52,1571239239275,1571239239765,490
70,1571239239710,1571239240768,1058
23,1571239239811,1571239240816,1005
30,1571239239918,1571239240881,963
53,1571239240292,1571239240920,628
31,1571239240927,1571239241859,932
32,1571239241945,1571239242769,824
33,1571239243955,1571239244873,918
54,1571239244302,1571239244874,572
50,1571239244339,1571239244918,579
51,1571239244349,1571239244986,637
4,1571239246545,1571239246873,328
52,1571239247358,1571239247831,473
71,1571239247719,1571239248792,1073
5,1571239248555,1571239248808,253
72,1571239250733,1571239251883,1150
24,1571239251821,1571239252922,1101
6,1571239253572,1571239253791,219
73,1571239254750,1571239255839,1089
74,1571239254762,1571239255861,1099
25,1571239258835,1571239259818,983
55,1571239259313,1571239259849,536
56,1571239260326,1571239260767,441
53,1571239260377,1571239260820,443
34,1571239260966,1571239261792,826
7,1571239261580,1571239261867,287
75,1571239262772,1571239263883,1111
26,1571239265856,1571239266812,956
35,1571239268976,1571239269838,862
57,1571239269346,1571239269879,533
27,1571239269869,1571239270797,928
54,1571239271387,1571239271838,451
36,1571239274990,1571239275894,904
76,1571239276781,1571239277830,1049
8,1571239277591,1571239278809,1218
55,1571239278409,1571239278860,451
9,1571239278602,1571239279821,1219
10,1571239279614,1571239280888,1274
77,1571239280800,1571239281856,1056
58,1571239281367,1571239281915,548
59,1571239282388,1571239282892,504
78,1571239284822,1571239285920,1098
37,1571239286010,1571239286862,852
28,1571239286878,1571239287815,937
11,1571239287642,1571239287888,246
29,1571239287893,1571239288845,952
56,1571239289434,1571239289925,491
38,1571239290029,1571239290815,786
39,1571239292050,1571239292814,764
40,1571239295071,1571239295852,781
57,1571239295445,1571239295853,408
79,1571239295843,1571239296890,1047
41,1571239296082,1571239296891,809
42,1571239296097,1571239296908,811
12,1571239297675,1571239298883,1208
80,1571239299853,1571239301006,1153
30,1571239299907,1571239301006,1099
60,1571239301408,1571239301911,503
81,1571239304868,1571239305889,1021
43,1571239305106,1571239305916,810
82,1571239305880,1571239306923,1043
83,1571239306889,1571239307849,960
13,1571239307692,1571239308899,1207
44,1571239308122,1571239308913,791
31,1571239308923,1571239309846,923
32,1571239309934,1571239310885,951
33,1571239310948,1571239311840,892
84,1571239314902,1571239315897,995
45,1571239317135,1571239317884,749
58,1571239317468,1571239317916,448
85,1571239317927,1571239318846,919
14,1571239318701,1571239319866,1165
86,1571239318945,1571239319929,984
46,1571239319156,1571239320014,858
59,1571239320494,1571239320918,424
61,1571239323430,1571239323853,423
62,1571239323442,1571239323881,439
63,1571239324457,1571239324879,422
87,1571239327963,1571239328848,885
64,1571239328468,1571239328893,425
15,1571239329721,1571239330945,1224
47,1571239330172,1571239330945,773
65,1571239330483,1571239331030,547
16,1571239331730,1571239332939,1209
88,1571239331980,1571239332961,981
66,1571239335496,1571239336897,1401
60,1571239335506,1571239336914,1408
67,1571239335516,1571239336959,1443
89,1571239337003,1571239337939,936
48,1571239337195,1571239337939,744
61,1571239338517,1571239338983,466
68,1571239338542,1571239339022,480
34,1571239340957,1571239341904,947
90,1571239341013,1571239341944,931
0,1571239341471,1571239342023,552
49,1571239343214,1571239343998,784
69,1571239343554,1571239344014,460
50,1571239344226,1571239344934,708
91,1571239345023,1571239345877,854
70,1571239346567,1571239346918,351
71,1571239346596,1571239346959,363
62,1571239347540,1571239347947,407
17,1571239347751,1571239348944,1193
1,1571239348482,1571239348944,462
72,1571239349610,1571239349948,338
73,1571239350632,1571239350877,245
63,1571239351554,1571239351941,387
74,1571239352665,1571239352920,255
92,1571239353035,1571239353860,825
51,1571239353243,1571239353915,672
52,1571239353254,1571239353964,710
75,1571239353675,1571239354867,1192
76,1571239354697,1571239355910,1213
77,1571239354707,1571239355926,1219
2,1571239355492,1571239355970,478
3,1571239358502,1571239358932,430
53,1571239359266,1571239359975,709
54,1571239359281,1571239359976,695
55,1571239365296,1571239365932,636
35,1571239365966,1571239366877,911
78,1571239366717,1571239367913,1196
79,1571239368727,1571239369912,1185
80,1571239368738,1571239369966,1228
64,1571239369565,1571239370046,481
65,1571239370574,1571239370945,371
18,1571239372778,1571239373974,1196
36,1571239372977,1571239373975,998
66,1571239376583,1571239376906,323
19,1571239376795,1571239377945,1150
56,1571239379305,1571239379894,589
20,1571239379808,1571239380991,1183
37,1571239382985,1571239383895,910
67,1571239383599,1571239383932,333
68,1571239383627,1571239383980,353
93,1571239385048,1571239385982,934
94,1571239385065,1571239385982,917
69,1571239387644,1571239387966,322
57,1571239388331,1571239389012,681
38,1571239389998,1571239390997,999
58,1571239391346,1571239391935,589
59,1571239391368,1571239391979,611
60,1571239395397,1571239396009,612
4,1571239396528,1571239396949,421
39,1571239397010,1571239398016,1006
40,1571239398029,1571239398947,918
81,1571239398748,1571239398993,245
5,1571239399539,1571239399938,399
21,1571239399818,1571239401110,1292
95,1571239404081,1571239404992,911
96,1571239404094,1571239405065,971
6,1571239406551,1571239406951,400
22,1571239406827,1571239408021,1194
61,1571239407410,1571239408046,636
97,1571239408101,1571239408968,867
98,1571239408113,1571239409039,926
82,1571239409773,1571239411050,1277
83,1571239409795,1571239411050,1255
41,1571239413052,1571239413974,922
42,1571239413065,1571239414003,938
62,1571239413419,1571239414060,641
63,1571239413460,1571239414135,675
64,1571239413478,1571239414159,681
7,1571239413585,1571239414205,620
70,1571239414664,1571239415020,356
71,1571239415673,1571239416072,399
72,1571239416684,1571239416969,285
84,1571239416814,1571239418049,1235
43,1571239417082,1571239418051,969
44,1571239418100,1571239418971,871
23,1571239418838,1571239420031,1193
73,1571239425698,1571239425980,282
85,1571239425832,1571239427032,1200
24,1571239427865,1571239428983,1118
