time,id,latitude,longitude,counter
0,226,-22.919319,-43.221252,0
1,422,-22.923943,-43.177799,0
2,512,-22.960569,-43.206589,0
1,426,-22.950306,-43.176529,0
2,650,-22.8951,-43.256,0
1,422,-22.924776,-43.179428,1
2,426,-22.950808,-43.18005,1
1,512,-22.96034,-43.204342,1
2,484,-22.8846,-43.2266,0
1,422,-22.925875,-43.179329,2
